14-10833,7/15/2014,BRIDGEPORT,,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
Dec-66,3/12/2012,HARTFORD,HARTFORD,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
15-12477,7/31/2015,HAMDEN,NEW HAVEN,CT,HAMDEN,NEW HAVEN,CT,"(41.382918, -72.907743)"
13-899,1/14/2013,NORTH BRANFORD,NEW HAVEN,CT,NORTH BRANFORD,NEW HAVEN,CT,"(41.324919, -72.770281)"
15-10599,6/27/2015,WATERBURY,NEW HAVEN,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
12-252,1/5/2012,STRATFORD,FAIRFIELD,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
13-18751,12/23/2013,MOOSUP,WINDHAM,CT,JEWETT CITY,NEW LONDON,CT,"(41.606767, -71.98126)"
13-14878,10/14/2013,NEW BRITAIN,HARTFORD,CT,NEW BRITAIN,HARTFORD,CT,"(41.667528, -72.783437)"
15-8737,5/24/2015,SALISBURY,LITCHFIELD,CT,SHARON,LITCHFIELD,CT,"(41.87943, -73.478873)"
Dec-54,4/1/2012,NEW HAVEN,NEW HAVEN,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
14-19325,12/24/2014,BRIDGEPORT,,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
13-297,1/6/2013,BRISTOL,HARTFORD,CT,BRISTOL,HARTFORD,CT,"(41.673037, -72.945791)"
13-5820,4/12/2013,HARTFORD,HARTFORD,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
14-13165,9/1/2014,FAIRFIELD,,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
13-1814,1/29/2013,NORTH HAVEN,NEW HAVEN,CT,NORTH HAVEN,NEW HAVEN,CT,"(41.38864, -72.860826)"
12-15786,11/9/2012,HAMDEN,NEW HAVEN,CT,HAMDEN,NEW HAVEN,CT,"(41.382918, -72.907743)"
15-14746,9/14/2015,BRIDGEPORT,FAIRFIELD,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
15-14958,9/18/2015,WINGDALE,DUTCHESS,NY,NEW MILFORD,LITCHFIELD,CT,"(41.576633, -73.408713)"
15-10981,7/5/2015,NORTH HAVEN,NEW HAVEN,CT,NORTH HAVEN,NEW HAVEN,CT,"(41.38864, -72.860826)"
12-12217,8/29/2012,MIDDLETOWN,MIDDLESEX,CT,MIDDLETOWN,MIDDLESEX,CT,"(41.544654, -72.651713)"
12-11203,8/9/2012,COLCHESTER,NEW LONDON,CT,VERNON,TOLLAND,CT,"(41.818792, -72.479029)"
15-8786,5/26/2015,FAIRFIELD,FAIRFIELD,CT,FAIRFIELD,FAIRFIELD,CT,"(41.143322, -73.249812)"
Dec-83,2/21/2012,DERBY,NEW HAVEN,CT,DERBY,NEW HAVEN,CT,"(41.322959, -73.089594)"
12-803,1/15/2012,NEW BRITAIN,HARTFORD,CT,NEW BRITAIN,HARTFORD,CT,"(41.667528, -72.783437)"
13-17644,12/3/2013,JEWETT CITY,NEW LONDON,CT,PLAINFIELD,WINDHAM,CT,"(41.67731, -71.918131)"
14-3611,3/4/2014,SEYMOUR,,CT,SEYMOUR,,CT,"(41.395594, -73.073581)"
14-19441,12/27/2014,HARTFORD,,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
14-8858,6/6/2014,SOUTHINGTON,,CT,SOUTHINGTON,HARTFORD,CT,"(41.600428, -72.878105)"
14-7650,5/14/2014,BRISTOL,,CT,BRISTOL,HARTFORD,CT,"(41.673037, -72.945791)"
13-9923,7/4/2013,SOUTH GLASTONBURY,HARTFORD,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
14-665,1/12/2014,HURLEY,,CT,TORRINGTON,,CT,"(41.812186, -73.101552)"
15-7099,4/24/2015,DANBURY,FAIRFIELD,CT,DANBURY,FAIRFIELD,CT,"(41.393666, -73.451539)"
14-7025,5/3/2014,,,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
15-7191,4/26/2015,MIDDLETOWN,MIDDLESEX,CT,MIDDLETOWN,MIDDLESEX,CT,"(41.544654, -72.651713)"
13-11333,8/2/2013,CANTON,HARTFORD,CT,CANTON,HARTFORD,CT,"(41.824474, -72.896794)"
15-15399,9/25/2015,MADISON,NEW HAVEN,CT,MADISON,NEW HAVEN,CT,"(41.271447, -72.60086)"
15-9897,6/14/2015,PORTLAND,MIDDLESEX,CT,MIDDLETOWN,MIDDLESEX,CT,"(41.544654, -72.651713)"
13-16652,11/15/2013,WINCHESTER,LITCHFIELD,CT,WINCHESTER,LITCHFIELD,CT,"(41.901973, -73.133851)"
15-8214,5/14/2015,,,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
14-16855,11/10/2014,NEW HAVEN,,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
12-11895,8/22/2012,WATERBURY,NEW HAVEN,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
13-2377,2/7/2013,EAST HAVEN,NEW HAVEN,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
15-9428,6/6/2015,,,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
14-15567,10/18/2014,WATERBURY,,CT,BRISTOL,HARTFORD,CT,"(41.673037, -72.945791)"
Dec-91,4/22/2012,GROTON,NEW LONDON,CT,GROTON,NEW LONDON,CT,"(41.343693, -72.07877)"
Dec-19,7/1/2012,STANFORDVILLE,DUTCHESS,CT,SHARON,LITCHFIELD,CT,"(41.87943, -73.478873)"
14-18400,12/9/2014,ALFRED STATION,,CT,STRATFORD,FAIRFIELD,CT,"(41.200888, -73.131323)"
15-15496,9/28/2015,HARWINTON,LITCHFIELD,CT,HARWINTON,LITCHFIELD,CT,"(41.771487, -73.059941)"
15-13179,8/14/2015,NEW LONDON,NEW LONDON,CT,NEW LONDON,NEW LONDON,CT,"(41.355167, -72.099561)"
15-14587,9/11/2015,HAMDEN,NEW HAVEN,CT,HAMDEN,NEW HAVEN,CT,"(41.382918, -72.907743)"
12-746,1/14/2012,NEW LONDON,NEW LONDON,CT,NEW LONDON,NEW LONDON,CT,"(41.355167, -72.099561)"
15-12337,7/28/2015,NORWICH,NEW LONDON,CT,NORWICH,NEW LONDON,CT,"(41.524304, -72.075821)"
13-16244,11/7/2013,MILFORD,NEW HAVEN,CT,MILFORD,NEW HAVEN,CT,"(41.224276, -73.057564)"
13-16384,11/10/2013,BRIDGEPORT,FAIRFIELD,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
14-19506,12/28/2014,DERBY,,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
14-4481,3/19/2014,SHELTON,,CT,SHELTON,,CT,"(41.316843, -73.092968)"
14-12574,8/20/2014,EAST HAVEN,,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
15-11193,7/8/2015,MILFORD,NEW HAVEN,CT,MILFORD,NEW HAVEN,CT,"(41.224276, -73.057564)"
13-10936,7/24/2013,REDDING,FAIRFIELD,CT,DANBURY,FAIRFIELD,CT,"(41.393666, -73.451539)"
14-13343,9/4/2014,HAMDEN,,CT,HAMDEN,NEW HAVEN,CT,"(41.382918, -72.907743)"
12-14886,10/23/2012,NEW BRITAIN,HARTFORD,CT,NEW BRITAIN,HARTFORD,CT,"(41.667528, -72.783437)"
14-19097,12/20/2014,MANCHESTER,,CT,COVENTRY,TOLLAND,CT,"(41.774042, -72.309999)"
14-421,1/8/2014,MIDDLETOWN,,CT,MIDDLETOWN,,CT,"(41.544654, -72.651713)"
15-14007,8/31/2015,ANSONIA,NEW HAVEN,CT,DERBY,NEW HAVEN,CT,"(41.322959, -73.089594)"
13-18667,12/22/2013,EAST WINDSOR,HARTFORD,CT,EAST WINDSOR,HARTFORD,CT,"(41.899986, -72.58032)"
Dec-58,6/10/2012,BRISTOL,HARTFORD,CT,BRISTOL,HARTFORD,CT,"(41.673037, -72.945791)"
14-12340,8/15/2014,WATERBURY,,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
13-6914,5/3/2013,,,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
